location,place,state,location_rating,age,season,affordable,types_of_travel,religion,itemId
Bhoramdeo Temple,"Chaura village, Kawardha town", chhattisgarh,4,0,winter,Yes,family,hindu,1
  maitri bagh,"Near to Maroda, Bhilai",chhattisgarh,4,20,"summer,spring,winter,rainy,autumn",Yes,friends,any,2
Tirathgarh Falls,Bastar district,chhattisgarh,4.6,25,monsoon,Yes,friends,any,3
Sirpur Heritage Site,bank of holy Mahanadi river,chhattisgarh,5,0,winter,Yes,family,hindu,4
Rajeev Smriti Van,Raipur,chhattisgarh,3.9,0,"summer,spring,winter,rainy,autumn",Yes,solo,any,5
Palolem Beach,Canacona,Goa,5,22,spring,Yes,friends,any,6
Calangute beach,North Goaalangute beach,Goa,4.4,0,monsoon,Yes,friends,any,7
Fort Aguada,Candolim,Goa,4.2,0,monsoon,Yes,"friends,family,solo",any,8
Chapora Fort,Vagato,Goa,4.3,35,monsoon,Yes,family,any,9
Basilica de Bom Jesus,Bainguinim,Goa,4.5,0,summer,Yes,family,christian,10
dudhsagar-falls,�Mandovi River�,Goa,4.6,18,winter,Yes,friends,any,11
Reis Magos Fort Arpora Night Market,Arpora,Goa,4.2,0,"summer,spring,winter,rainy,autumn",Yes,family,any,12
Deltin Royale Casino,Panaji,Goa,4.3,20,autumn,Yes,friends,any,13
Naval Aviation Museum,Vasco da Gama,Goa,4.5,24,spring,Yes,friends,any,14
Champaner-Pavagadh Archaeological Park,�Panchmahal,Gujarat,4.4,0,"summer,spring,winter,rainy,autumn",Yes,"friends,family,solo",any,16
Konark Sun Temple,Konark,Gujarat,4.6,0,spring,Yes,family,hindu,17
Polo Forest,Gujarat,Gujarat,4.3,15,monsoon,yes,friends,any,18
Dwarka,Gujarat,Gujarat,4.2,0,winter,Yes,family,hindu,19
Somnath,Veraval,Gujarat,4.8,35,winter,Yes,family,hindu,20
Gir National Park,Gujarat,Gujarat,4.2,11,winter,Yes,friends,any,21
Rann Of Kutch,Kutch,Gujarat,4.5,22,winter,yes,friends,any,22
Makarpura Palace,Vadodara,Gujarat,4,0,summer,yes,family,any,23
EME Temple,Gujarat,Gujarat,4.7,30,monsoon,yes,family,hindu,24
Brahma Sarovar,kurukshetra,Harayana,4.7,0,autumn,yes,family,hindu,25
Kabuli Bagh Mosque,Panipat,Harayana,4,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",musilm,26
Holy Redeemer Church,Ambala,Harayana,4.6,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",chritian,27
Sultanpur Bird Sanctuary,Harayana,Harayana,4.1,0,winter,yes,friends,any,28
Leisure Valley Park,Gurgaon,Harayana,4.7,10,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",any,29
Kingdom of Dreams,Harayana,Harayana,4.5,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",any,30
Jatmai Temple,Raipur,chhattisgarh,4.5,0,rainy,yes,family,hindu,31
Nandan Van Zoo,�Atari,chhattisgarh,3.9,25,"summer,spring,winter,rainy,autumn",yes,friends,any,32
Ghatarani Waterfalls,Raipur,chhattisgarh,4.3,22,summer,yes,friends,any,33
MM Fun City,�Arang,chhattisgarh,4.1,25,"summer,spring,winter,rainy,autumn",yes,friends,any,34
Solang Valley,Manali,Himachal pradesh,4,40,"summer,winter",yes,"family,friends",any,35
jakhu temple,shimla,Himachal pradesh,4.5,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",hindus,36
Beas River,central Himachal pradesh,Himachal pradesh,4.5,20,"summer,spring,winter,rainy,autumn",yes,"friends,family",any,37
Manikaran Gurudwara,Kullu ,Himachal pradesh,4.5,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo","sikhs,hindus",38
Jogini Waterfall,Manali,Himachal pradesh,4.5,0,"summer,spring,autumn",yes,"friends,family,solo",any,39
Spiti valley,Lahaul,Himachal pradesh,5,0,"summer,autumn",yes,"friends,family,solo",any,40
Hidimba Devi Temple,Manali,Himachal pradesh,4.5,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",hindus,41
Triund Hill,Kangra,Himachal pradesh,4.5,20,"summer,autumn",yes,"friends,solo",any,42
Tirthan Valley,Kullu ,Himachal pradesh,5,20,"summer,spring,winter",yes,"friends,family",any,43
Prashar lake,Mandi,Himachal pradesh,4.5,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",any,44
Bhagus Waterfall,Dharamshala,Himachal pradesh,5,20,summer,yes,"friends,family,solo",any,45
Masroor Rock Cut temple,Lahalpur,Himachal pradesh,4.5,0,"summer,spring",yes,"friends,family,solo",hindus,46
Barot valley,Mandi,Himachal pradesh,4.5,20,"summer,spring,autumn,winter",yes,"family,friends",any,47
parvathi valley,Kullu ,Himachal pradesh,4.5,20,"summer,spring",yes,"friends,family,solo",any,48
Dal Lake,Srinagar,Jammu & Kashmir,4.5,0,"summer,monsoon,autumn",yes,"friends,family,solo",any,49
Vaishnavo Devi Mandir,Trikuta hills,Jammu & Kashmir,4.5,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",hindus,50
Gulmarg,Gulmarg,Jammu & Kashmir,4.5,20,"summer,spring,autumn,winter",yes,"friends,family",any,51
Pahalgam,Anantnag,Jammu & Kashmir,4.5,20,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",any,52
Amarnath,Anantnag,Jammu & Kashmir,4.5,20,"summer,monsoon",yes,"friends,family,solo",hindus,53
Nubra Valley,Ladakh,Jammu & Kashmir,5,0,monsoon,yes,"friends,family,solo",any,54
Sonamarg,Ganderbal,Jammu & Kashmir,4.5,0,"summer,monsoon,autumn",yes,"friends,family,solo",any,55
Jammu,Jammu,Jammu & Kashmir,4,20,"autumn,winter,spring",yes,"friends,family,solo",any,56
Lamayur,Leh,Jammu & Kashmir,4.5,20,summer,yes,"friends,family,solo",any,57
Deoghar temple,Deoghar,Jharkhand,4.5,0,"monsoon,autumn,winter,spring",yes,"friends,family,solo",hindus,58
Jamshedpur,Jamshedpur,Jharkhand,4,0,"autumn,winte,spring",yes,"friends,family,solo",any,59
Ghatshila,singhbhum,Jharkhand,4.2,0,"autumn,winter,spring",yes,"friends,family,solo",any,60
dasham falls,Ranchi,Jharkhand,3.5,0,"monsoon,autumn,spring",yes,"friends,family,solo",any,61
Netarhat,Latehar,Jharkhand,4,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",any,62
hazaribagh,chhota nagpur,Jharkhand,4.5,0,"autumn,winter,spring",yes,"friends,family,solo",any,63
Banglore,Banglore,Karnataka,4,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",any,65
mysore,mysore,Karnataka,4.5,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",any,66
Chikmagalur,Mullayagiri,Karnataka,4.5,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",any,67
hampi,Vijayanagara,Karnataka,4.5,0,"autumn,winter,spring",yes,"friends,family,solo",hindus,68
udupi,udipi,Karnataka,4.5,0,"summer,spring,winter,rainy,autumn",yes,"friends,family,solo",any,69
